** CONVERTED FROM .\REACTION_roi.EDF using edfapi 4.2.1197.0 Windows   standalone Sep 27 2024 on Thu Jun 12 15:54:03 2025
** DATE: Tue Jun 10 12:56:37 2025
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.50 Jun 16 2022 (EyeLink 1000 Plus)
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BCF35
** CAMERA_CONFIG: BCF35200.SCD
** RECORDED BY EyeTrackingSetup.py
**

MSG	194458 DISPLAY_COORDS  0 0 2047 1151
INPUT	197537	127
MSG	210748 !CAL VALIDATION HV9 R RIGHT FAIR ERROR 1.44 avg. 1.70 max  OFFSET 1.41 deg. -74.0,18.3 pix.
MSG	210748 VALIDATE R 4POINT 0 RIGHT  at 1024,576  OFFSET 1.53 deg.  -76.7,32.2 pix.
MSG	210748 VALIDATE R 4POINT 1 RIGHT  at 1024,98  OFFSET 1.05 deg.  -57.0,2.7 pix.
MSG	210748 VALIDATE R 4POINT 2 RIGHT  at 1024,1053  OFFSET 1.57 deg.  -84.8,-6.5 pix.
MSG	210748 VALIDATE R 4POINT 3 RIGHT  at 123,576  OFFSET 1.02 deg.  -54.3,-9.0 pix.
MSG	210748 VALIDATE R 4POINT 4 RIGHT  at 1924,576  OFFSET 1.46 deg.  -75.8,22.0 pix.
MSG	210748 VALIDATE R 4POINT 5 RIGHT  at 231,155  OFFSET 1.28 deg.  -65.2,24.2 pix.
MSG	210748 VALIDATE R 4POINT 6 RIGHT  at 1816,155  OFFSET 1.70 deg.  -87.4,29.6 pix.
MSG	210748 VALIDATE R 4POINT 7 RIGHT  at 231,996  OFFSET 1.20 deg.  -56.0,-34.0 pix.
MSG	210748 VALIDATE R 4POINT 8 RIGHT  at 1816,996  OFFSET 1.65 deg.  -89.1,3.5 pix.
INPUT	220717	127
MSG	221845 RECCFG CR 1000 2 1 R
MSG	221845 ELCLCFG MTABLER
MSG	221845 GAZE_COORDS 0.00 0.00 2047.00 1151.00
MSG	221845 THRESHOLDS R 85 232
MSG	221845 ELCL_WINDOW_SIZES 176 188 0 0
MSG	221845 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	221845 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	221845 ELCL_PROC ELLIPSE  (5)
MSG	221845 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	221846 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
INPUT	221846	127
MSG	221846 !MODE RECORD CR 1000 2 1 R
221846	   47.1	  199.9	  549.0	...
221847	   46.9	  200.1	  550.0	...
221848	   46.7	  200.7	  551.0	...
221849	   46.2	  201.1	  551.0	...
221850	   45.8	  201.1	  551.0	...
221851	   44.7	  200.6	  551.0	...
221852	   44.1	  200.1	  551.0	...
SFIX R   221853
221853	   43.5	  199.9	  551.0	...
221854	   43.9	  200.0	  551.0	...
221855	   44.7	  202.0	  552.0	...
221856	   45.1	  204.6	  552.0	...
221857	   45.2	  207.0	  552.0	...
221858	   43.9	  207.8	  553.0	...
221859	   42.6	  208.1	  554.0	...
221860	   41.7	  207.0	  554.0	...
221861	   42.0	  206.1	  554.0	...
221862	   42.1	  205.4	  555.0	...
221863	   41.9	  206.4	  555.0	...
221864	   41.1	  207.1	  555.0	...
221865	   40.6	  206.8	  554.0	...
221866	   40.4	  206.2	  553.0	...
221867	   40.9	  205.8	  552.0	...
221868	   41.3	  206.4	  553.0	...
221869	   41.6	  206.9	  554.0	...
221870	   42.0	  205.8	  556.0	...
221871	   42.4	  204.4	  558.0	...
221872	   42.5	  202.9	  560.0	...
221873	   42.0	  202.6	  561.0	...
221874	   41.5	  203.1	  561.0	...
221875	   41.2	  204.2	  562.0	...
221876	   41.1	  205.6	  562.0	...
221877	   41.1	  206.3	  561.0	...
221878	   42.1	  205.7	  560.0	...
221879	   43.1	  204.9	  558.0	...
221880	   44.1	  204.0	  558.0	...
221881	   44.9	  203.6	  559.0	...
221882	   46.0	  203.1	  560.0	...
221883	   47.0	  202.6	  561.0	...
221884	   46.5	  203.3	  561.0	...
221885	   45.8	  204.1	  561.0	...
221886	   46.7	  203.7	  562.0	...
221887	   48.2	  202.6	  562.0	...
221888	   49.5	  201.5	  562.0	...
221889	   48.7	  201.4	  561.0	...
221890	   47.8	  201.7	  560.0	...
221891	   46.1	  202.2	  561.0	...
221892	   45.1	  203.2	  561.0	...
221893	   44.0	  203.9	  562.0	...
221894	   43.7	  204.6	  562.0	...
221895	   43.7	  205.1	  562.0	...
221896	   43.7	  205.7	  563.0	...
221897	   44.0	  206.0	  563.0	...
221898	   44.4	  206.0	  563.0	...
221899	   44.6	  206.1	  564.0	...
221900	   44.4	  206.6	  565.0	...
221901	   44.3	  207.1	  567.0	...
