** CONVERTED FROM .\SEARCH_roi.EDF using edfapi 4.2.1197.0 Windows   standalone Sep 27 2024 on Sat Jun 14 13:29:22 2025
** DATE: Tue Jun 10 12:58:09 2025
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.50 Jun 16 2022 (EyeLink 1000 Plus)
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BCF35
** CAMERA_CONFIG: BCF35200.SCD
** RECORDED BY EyeTrackingSetup.py
**

MSG	286225 DISPLAY_COORDS  0 0 2047 1151
INPUT	288341	127
MSG	303222 !CAL VALIDATION HV9 R RIGHT GOOD ERROR 0.36 avg. 0.98 max  OFFSET 0.32 deg. 17.5,-2.4 pix.
MSG	303222 VALIDATE R 4POINT 0 RIGHT  at 1024,576  OFFSET 0.16 deg.  6.4,-5.8 pix.
MSG	303222 VALIDATE R 4POINT 1 RIGHT  at 1024,98  OFFSET 0.35 deg.  14.5,13.0 pix.
MSG	303222 VALIDATE R 4POINT 2 RIGHT  at 1024,1053  OFFSET 0.61 deg.  33.2,1.4 pix.
MSG	303222 VALIDATE R 4POINT 3 RIGHT  at 123,576  OFFSET 0.32 deg.  17.3,3.3 pix.
MSG	303222 VALIDATE R 4POINT 4 RIGHT  at 1924,576  OFFSET 0.62 deg.  33.6,4.2 pix.
MSG	303222 VALIDATE R 4POINT 5 RIGHT  at 231,155  OFFSET 0.28 deg.  10.4,-11.7 pix.
MSG	303222 VALIDATE R 4POINT 6 RIGHT  at 1816,155  OFFSET 0.45 deg.  22.9,-9.0 pix.
MSG	303222 VALIDATE R 4POINT 7 RIGHT  at 231,996  OFFSET 0.44 deg.  14.5,-19.8 pix.
MSG	303222 VALIDATE R 4POINT 8 RIGHT  at 1816,996  OFFSET 0.98 deg.  53.0,-4.6 pix.
INPUT	307275	127
MSG	308378 RECCFG CR 1000 2 1 R
MSG	308378 ELCLCFG MTABLER
MSG	308378 GAZE_COORDS 0.00 0.00 2047.00 1151.00
MSG	308378 THRESHOLDS R 85 232
MSG	308378 ELCL_WINDOW_SIZES 176 188 0 0
MSG	308378 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	308378 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	308378 ELCL_PROC ELLIPSE  (5)
MSG	308378 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	308379 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
INPUT	308379	127
MSG	308379 !MODE RECORD CR 1000 2 1 R
308379	  708.8	  459.1	  465.0	...
308380	  708.8	  458.8	  466.0	...
308381	  709.1	  458.4	  466.0	...
308382	  709.3	  458.1	  467.0	...
308383	  709.5	  458.4	  467.0	...
308384	  709.7	  458.3	  467.0	...
308385	  709.8	  458.1	  467.0	...
SFIX R   308386
308386	  710.0	  457.4	  467.0	...
308387	  709.4	  456.8	  467.0	...
308388	  708.8	  456.3	  466.0	...
308389	  707.9	  456.2	  467.0	...
308390	  707.6	  456.2	  468.0	...
308391	  707.1	  456.2	  470.0	...
308392	  707.0	  456.2	  471.0	...
308393	  707.2	  455.4	  471.0	...
308394	  707.7	  454.5	  471.0	...
308395	  709.1	  453.8	  470.0	...
308396	  710.0	  454.0	  470.0	...
308397	  710.7	  454.6	  470.0	...
308398	  710.6	  455.4	  470.0	...
308399	  710.5	  456.1	  471.0	...
308400	  710.5	  455.7	  472.0	...
308401	  710.6	  455.0	  473.0	...
308402	  710.8	  454.3	  474.0	...
308403	  710.3	  454.5	  474.0	...
308404	  709.8	  454.3	  475.0	...
308405	  709.3	  454.0	  475.0	...
308406	  710.5	  454.8	  475.0	...
308407	  711.7	  455.8	  476.0	...
308408	  712.9	  456.6	  477.0	...
308409	  713.1	  456.3	  477.0	...
308410	  714.0	  456.3	  478.0	...
308411	  714.8	  457.6	  478.0	...
308412	  714.5	  458.8	  478.0	...
308413	  713.4	  459.9	  478.0	...
308414	  712.3	  459.9	  478.0	...
308415	  712.0	  459.8	  478.0	...
308416	  711.3	  459.7	  477.0	...
308417	  710.6	  459.6	  477.0	...
308418	  710.3	  458.7	  478.0	...
308419	  709.9	  457.9	  480.0	...
308420	  709.5	  457.3	  482.0	...
308421	  708.9	  457.5	  483.0	...
308422	  708.7	  457.3	  483.0	...
308423	  708.7	  456.9	  484.0	...
308424	  708.6	  457.6	  484.0	...
308425	  708.4	  458.8	  484.0	...
308426	  708.4	  458.6	  484.0	...
308427	  709.0	  457.1	  484.0	...
308428	  709.5	  456.5	  484.0	...
308429	  710.4	  457.2	  485.0	...
308430	  711.0	  458.0	  485.0	...
308431	  711.9	  458.1	  486.0	...
308432	  712.3	  458.1	  486.0	...
308433	  712.1	  458.2	  487.0	...
308434	  711.6	  457.4	  488.0	...
